,fecha,dia,mes,ano,linea,estacion,afluencia
117,2021-04-27,27,Abril,2021,Linea 1,Pantitlán,25007
118,2021-04-28,28,Abril,2021,Linea 1,Pantitlán,22806
119,2021-04-29,29,Abril,2021,Linea 1,Pantitlán,24357
120,2021-04-30,30,Abril,2021,Linea 1,Pantitlán,30345
121,2021-05-01,1,Mayo,2021,Linea 1,Pantitlán,17556
122,2021-05-02,2,Mayo,2021,Linea 1,Pantitlán,14737
123,2021-05-03,3,Mayo,2021,Linea 1,Pantitlán,25191
124,2021-05-04,4,Mayo,2021,Linea 1,Pantitlán,25221
125,2021-05-05,5,Mayo,2021,Linea 1,Pantitlán,26465
126,2021-05-06,6,Mayo,2021,Linea 1,Pantitlán,24335
127,2021-05-07,7,Mayo,2021,Linea 1,Pantitlán,22685
128,2021-05-08,8,Mayo,2021,Linea 1,Pantitlán,18921
129,2021-05-09,9,Mayo,2021,Linea 1,Pantitlán,7977
130,2021-05-10,10,Mayo,2021,Linea 1,Pantitlán,14166
131,2021-05-11,11,Mayo,2021,Linea 1,Pantitlán,18085
132,2021-05-12,12,Mayo,2021,Linea 1,Pantitlán,14227
133,2021-05-13,13,Mayo,2021,Linea 1,Pantitlán,16344
134,2021-05-14,14,Mayo,2021,Linea 1,Pantitlán,18751
135,2021-05-15,15,Mayo,2021,Linea 1,Pantitlán,5561
136,2021-05-16,16,Mayo,2021,Linea 1,Pantitlán,6
137,2021-05-17,17,Mayo,2021,Linea 1,Pantitlán,22452
138,2021-05-18,18,Mayo,2021,Linea 1,Pantitlán,21873
139,2021-05-19,19,Mayo,2021,Linea 1,Pantitlán,20762
140,2021-05-20,20,Mayo,2021,Linea 1,Pantitlán,"19,18"
141,2021-05-21,21,Mayo,2021,Linea 1,Pantitlán,20734
142,2021-05-22,22,Mayo,2021,Linea 1,Pantitlán,14057
143,2021-05-23,23,Mayo,2021,Linea 1,Pantitlán,9976
144,2021-05-24,24,Mayo,2021,Linea 1,Pantitlán,21443
145,2021-05-25,25,Mayo,2021,Linea 1,Pantitlán,25798
146,2021-05-26,26,Mayo,2021,Linea 1,Pantitlán,25496
147,2021-05-27,27,Mayo,2021,Linea 1,Pantitlán,22062
148,2021-05-28,28,Mayo,2021,Linea 1,Pantitlán,"22,16"
149,2021-05-29,29,Mayo,2021,Linea 1,Pantitlán,16365
150,2021-05-30,30,Mayo,2021,Linea 1,Pantitlán,18093
151,2021-05-31,31,Mayo,2021,Linea 1,Pantitlán,23291
152,2021-06-01,1,Junio,2021,Linea 1,Pantitlán,17583
153,2021-06-02,2,Junio,2021,Linea 1,Pantitlán,19286
154,2021-06-03,3,Junio,2021,Linea 1,Pantitlán,17017
155,2021-06-04,4,Junio,2021,Linea 1,Pantitlán,16637
156,2021-06-05,5,Junio,2021,Linea 1,Pantitlán,21115
157,2021-06-06,6,Junio,2021,Linea 1,Pantitlán,7063
